Token            Lexeme
------------------------------
Separator    | $
Separator    | $
Keyword      | integer
Identifier   | i
Separator    | ,
Identifier   | max
Separator    | ,
Identifier   | sum
Separator    | ;
Separator    | $
Identifier   | sum
Operator     | =
Integer      | 0
Separator    | ;
Identifier   | i
Operator     | =
Integer      | 1
Separator    | ;
Keyword      | scan
Separator    | (
Identifier   | max
Separator    | )
Separator    | ;
Keyword      | while
Separator    | (
Identifier   | i
Operator     | <
Identifier   | max
Separator    | )
Separator    | {
Identifier   | sum
Operator     | =
Identifier   | sum
Operator     | +
Identifier   | i
Separator    | ;
Identifier   | i
Operator     | =
Identifier   | i
Operator     | +
Integer      | 1
Separator    | ;
Separator    | }
Keyword      | endwhile
Integer      | 3
Keyword      | print
Separator    | (
Identifier   | sum
Operator     | +
Identifier   | max
Separator    | )
Separator    | ;
Separator    | $

Syntax Analysis:
------------------------------
