Token            Lexeme
------------------------------
Separator    | $
Keyword      | function
Identifier   | factorial
Separator    | (
Identifier   | n
Keyword      | integer
Separator    | )
Separator    | {
Keyword      | if
Separator    | (
Identifier   | n
Operator     | <=
Integer      | 1
Separator    | )
Separator    | {
Keyword      | return
Integer      | 1
Separator    | ;
Separator    | }
Keyword      | return
Identifier   | n
Operator     | *
Identifier   | factorial
Separator    | (
Identifier   | n
Operator     | -
Integer      | 1
Separator    | )
Separator    | ;
Separator    | }
Separator    | $
Keyword      | integer
Identifier   | num
Separator    | ;
Keyword      | scan
Separator    | (
Identifier   | num
Separator    | )
Separator    | ;
Keyword      | print
Separator    | (
Identifier   | factorial
Separator    | (
Identifier   | num
Separator    | )
Separator    | )
Separator    | ;
Separator    | $
